ReviewID,CustomerID,ProductID,ReviewDate,Rating,ReviewText,SentimentScore,SentimentCategory,SentimentBucket,DetectedIssue
98,96,3,2025-11-20,5,Exceeded  my  expectations!,0.0,Positive,0.0 to 0.49,No Issue Detected
99,79,16,2025-01-29,2,"Average  experience,  nothing  special.",-0.3089,Negative,-0.49 to 0.0,No Issue Detected
100,9,2,2025-06-20,3,Not  worth  the  money.,-0.1695,Mixed Negative,-0.49 to 0.0,No Issue Detected
101,61,18,2024-09-11,5,The  build  quality  is  impressive.,0.5106,Positive,0.5 to 1.0,No Issue Detected
102,4,2,2025-08-22,5,"Excellent  product,  highly  recommend!",0.7773,Positive,0.5 to 1.0,No Issue Detected
103,82,14,2024-11-17,5,The  quality  is  top-notch.,0.0,Positive,0.0 to 0.49,No Issue Detected
104,96,5,2023-01-06,4,"I  love    this  product,  will  buy  again!",0.6696,Positive,0.5 to 1.0,No Issue Detected
105,32,12,2024-08-27,2,The  product    arrived  late.,0.0,Negative,0.0 to 0.49,Delivery Issue
106,94,17,2024-02-25,2,"Average  experience,  nothing  special.",-0.3089,Negative,-0.49 to 0.0,No Issue Detected
107,26,10,2025-02-17,5,Five  stars  for    the  quick  delivery.,0.0,Positive,0.0 to 0.49,Delivery Issue
108,80,17,2023-12-22,5,Five  stars  for  the    quick  delivery.,0.0,Positive,0.0 to 0.49,Delivery Issue
109,38,10,2023-07-25,4,Customer  support  was  very  helpful.,0.6997,Positive,0.5 to 1.0,Customer Service
110,54,12,2024-08-02,4,Customer    support  was  very  helpful.,0.6997,Positive,0.5 to 1.0,Customer Service
111,43,7,2023-11-05,4,Five  stars  for  the  quick  delivery.,0.0,Positive,0.0 to 0.49,Delivery Issue
112,87,3,2023-05-26,5,"Excellent  product,  highly  recommend!",0.7773,Positive,0.5 to 1.0,No Issue Detected
113,27,9,2024-03-31,2,Disappointed  with  the  performance.,-0.4767,Negative,-0.49 to 0.0,No Issue Detected
114,52,19,2025-05-04,2,"Average  experience,  nothing  special.",-0.3089,Negative,-0.49 to 0.0,No Issue Detected
115,82,9,2023-09-28,4,Five  stars  for  the  quick  delivery.,0.0,Positive,0.0 to 0.49,Delivery Issue
116,70,18,2023-07-23,4,The  quality  is  top-notch.,0.0,Positive,0.0 to 0.49,No Issue Detected
117,20,14,2025-04-19,4,Customer  support  was  very  helpful.,0.6997,Positive,0.5 to 1.0,Customer Service
118,59,6,2024-05-01,1,The  product  arrived  late.,0.0,Negative,0.0 to 0.49,Delivery Issue
119,34,5,2025-09-06,4,"Great  purchase,  very    satisfied.",0.8016,Positive,0.5 to 1.0,No Issue Detected
120,3,20,2024-08-18,4,The  quality  is  top-notch.,0.0,Positive,0.0 to 0.49,No Issue Detected
121,91,1,2025-11-02,2,"Good  quality,  but  could  be  cheaper.",0.2382,Mixed Negative,0.0 to 0.49,Product Quality
122,83,14,2024-09-27,2,Not  worth  the  money.,-0.1695,Negative,-0.49 to 0.0,No Issue Detected
123,93,1,2025-09-22,4,"Good  quality,  but  could  be  cheaper.",0.2382,Positive,0.0 to 0.49,Product Quality
124,36,16,2023-07-17,5,Customer  support  was  very  helpful.,0.6997,Positive,0.5 to 1.0,Customer Service
125,55,11,2025-12-20,5,"I  love  this  product,  will  buy  again!",0.6696,Positive,0.5 to 1.0,No Issue Detected
126,32,10,2024-08-12,5,Exceeded  my  expectations!,0.0,Positive,0.0 to 0.49,No Issue Detected
127,47,8,2025-03-25,4,"Great  purchase,  very  satisfied.",0.8016,Positive,0.5 to 1.0,No Issue Detected
128,71,20,2023-12-13,2,"Average  experience,  nothing  special.",-0.3089,Negative,-0.49 to 0.0,No Issue Detected
129,46,13,2025-02-14,4,"Good  quality,  but  could  be  cheaper.",0.2382,Positive,0.0 to 0.49,Product Quality
130,88,3,2025-09-22,5,"Great    purchase,  very  satisfied.",0.8016,Positive,0.5 to 1.0,No Issue Detected
131,42,5,2023-06-16,5,Amazing  value  for  the  price.,0.7351,Positive,0.5 to 1.0,No Issue Detected
132,21,7,2025-11-13,2,Product  did  not  meet  my  expectations.,0.0,Negative,0.0 to 0.49,No Issue Detected
133,40,4,2025-05-24,4,The  quality  is  top-notch.,0.0,Positive,0.0 to 0.49,No Issue Detected
134,74,4,2024-03-27,3,"Good  quality,  but  could    be  cheaper.",0.2382,Mixed Positive,0.0 to 0.49,Product Quality
135,48,14,2023-06-08,4,"I  love  this  product,  will  buy  again!",0.6696,Positive,0.5 to 1.0,No Issue Detected
136,17,3,2025-03-27,5,Amazing  value  for    the  price.,0.7351,Positive,0.5 to 1.0,No Issue Detected
137,88,6,2023-03-02,4,"Good  quality,  but  could    be  cheaper.",0.2382,Positive,0.0 to 0.49,Product Quality
138,28,15,2023-01-18,5,Five  stars  for  the  quick  delivery.,0.0,Positive,0.0 to 0.49,Delivery Issue
139,36,16,2023-04-20,4,Customer  support  was  very  helpful.,0.6997,Positive,0.5 to 1.0,Customer Service
140,53,18,2023-12-03,3,"Good  quality,  but  could  be  cheaper.",0.2382,Mixed Positive,0.0 to 0.49,Product Quality
141,98,9,2024-10-15,5,Amazing  value  for  the    price.,0.7351,Positive,0.5 to 1.0,No Issue Detected
142,15,7,2023-08-04,5,"Excellent  product,  highly  recommend!",0.7773,Positive,0.5 to 1.0,No Issue Detected
143,3,12,2023-04-12,3,"Average  experience,  nothing  special.",-0.3089,Mixed Negative,-0.49 to 0.0,No Issue Detected
144,27,15,2025-08-16,4,The  build  quality  is  impressive.,0.5106,Positive,0.5 to 1.0,No Issue Detected
145,27,10,2024-03-05,3,"The    product  is  okay,  but  the  instructions  were  unclear.",-0.2617,Mixed Negative,-0.49 to 0.0,No Issue Detected
146,5,13,2025-01-09,4,"I  love  this  product,  will  buy  again!",0.6696,Positive,0.5 to 1.0,No Issue Detected
147,100,20,2025-01-25,2,"Average  experience,  nothing  special.",-0.3089,Negative,-0.49 to 0.0,No Issue Detected
148,17,18,2024-11-05,1,"Average  experience,  nothing  special.",-0.3089,Negative,-0.49 to 0.0,No Issue Detected
149,50,3,2023-12-20,4,The  quality  is  top-notch.,0.0,Positive,0.0 to 0.49,No Issue Detected
150,4,15,2024-06-18,5,"I  love  this  product,  will  buy    again!",0.6696,Positive,0.5 to 1.0,No Issue Detected
151,21,19,2023-10-30,3,"Good  quality,  but  could  be  cheaper.",0.2382,Mixed Positive,0.0 to 0.49,Product Quality
152,32,16,2025-12-15,3,"Good  quality,  but    could  be  cheaper.",0.2382,Mixed Positive,0.0 to 0.49,Product Quality
153,95,11,2023-11-06,5,Amazing  value  for  the  price.,0.7351,Positive,0.5 to 1.0,No Issue Detected
154,3,12,2023-12-19,4,The  quality  is  top-notch.,0.0,Positive,0.0 to 0.49,No Issue Detected
155,89,3,2025-12-10,4,Customer  support  was  very  helpful.,0.6997,Positive,0.5 to 1.0,Customer Service
156,5,7,2025-01-26,5,The  build  quality  is  impressive.,0.5106,Positive,0.5 to 1.0,No Issue Detected
157,10,17,2025-10-14,2,The  product  arrived  late.,0.0,Negative,0.0 to 0.49,Delivery Issue
158,37,2,2024-04-16,5,"Great  purchase,  very  satisfied.",0.8016,Positive,0.5 to 1.0,No Issue Detected
159,23,12,2023-09-01,5,"I  love  this  product,    will  buy  again!",0.6696,Positive,0.5 to 1.0,No Issue Detected
160,71,9,2024-01-02,2,Not  worth  the  money.,-0.1695,Negative,-0.49 to 0.0,No Issue Detected
161,9,18,2025-08-05,2,The  product  arrived    late.,0.0,Negative,0.0 to 0.49,Delivery Issue
162,64,20,2023-07-25,3,"Average  experience,  nothing  special.",-0.3089,Mixed Negative,-0.49 to 0.0,No Issue Detected
163,89,7,2023-05-27,5,The  quality  is  top-notch.,0.0,Positive,0.0 to 0.49,No Issue Detected
164,25,19,2024-03-16,2,Product  did  not    meet  my  expectations.,0.0,Negative,0.0 to 0.49,No Issue Detected
165,97,3,2025-06-03,4,The  quality  is  top-notch.,0.0,Positive,0.0 to 0.49,No Issue Detected
166,87,3,2023-11-01,3,"Good    quality,  but  could  be  cheaper.",0.2382,Mixed Positive,0.0 to 0.49,Product Quality
167,28,16,2023-08-02,2,Product  did  not  meet    my  expectations.,0.0,Negative,0.0 to 0.49,No Issue Detected
168,72,2,2025-12-13,3,Customer  support  was  very  helpful.,0.6997,Mixed Positive,0.5 to 1.0,Customer Service
169,26,8,2025-09-28,5,Five  stars  for  the  quick    delivery.,0.0,Positive,0.0 to 0.49,Delivery Issue
170,53,13,2024-06-23,5,The  build  quality  is  impressive.,0.5106,Positive,0.5 to 1.0,No Issue Detected
171,2,16,2024-02-16,3,Not  worth  the  money.,-0.1695,Mixed Negative,-0.49 to 0.0,No Issue Detected
172,79,2,2024-11-23,3,Not  worth  the  money.,-0.1695,Mixed Negative,-0.49 to 0.0,No Issue Detected
173,15,16,2025-05-30,5,Customer  support  was  very  helpful.,0.6997,Positive,0.5 to 1.0,Customer Service
174,91,8,2024-06-23,4,"I  love  this  product,  will  buy  again!",0.6696,Positive,0.5 to 1.0,No Issue Detected
175,3,6,2024-11-02,3,"Good  quality,  but  could  be  cheaper.",0.2382,Mixed Positive,0.0 to 0.49,Product Quality
176,21,11,2023-11-23,3,"The  product  is  okay,  but  the  instructions  were  unclear.",-0.2617,Mixed Negative,-0.49 to 0.0,No Issue Detected
177,93,19,2025-07-03,4,"I  love  this  product,  will  buy  again!",0.6696,Positive,0.5 to 1.0,No Issue Detected
178,17,20,2025-05-25,4,The  quality  is    top-notch.,0.0,Positive,0.0 to 0.49,No Issue Detected
179,46,20,2025-11-26,4,"Great  purchase,  very  satisfied.",0.8016,Positive,0.5 to 1.0,No Issue Detected
180,77,5,2023-03-08,4,"Great  purchase,    very  satisfied.",0.8016,Positive,0.5 to 1.0,No Issue Detected
181,4,3,2024-08-09,4,The  build  quality  is  impressive.,0.5106,Positive,0.5 to 1.0,No Issue Detected
182,21,11,2024-03-08,5,"Excellent  product,  highly  recommend!",0.7773,Positive,0.5 to 1.0,No Issue Detected
183,13,5,2025-06-08,4,"Great  purchase,  very  satisfied.",0.8016,Positive,0.5 to 1.0,No Issue Detected
184,59,5,2024-12-29,4,Shipping  was  fast  and  the  item  was  well-packaged.,0.0,Positive,0.0 to 0.49,Delivery Issue
185,8,6,2023-11-13,2,Product  did  not  meet  my  expectations.,0.0,Negative,0.0 to 0.49,No Issue Detected
186,22,13,2023-02-17,4,The  quality  is  top-notch.,0.0,Positive,0.0 to 0.49,No Issue Detected
187,58,18,2025-05-01,4,The  quality  is  top-notch.,0.0,Positive,0.0 to 0.49,No Issue Detected
188,70,5,2025-09-19,5,Exceeded  my  expectations!,0.0,Positive,0.0 to 0.49,No Issue Detected
189,83,7,2025-03-13,2,The  product    arrived  late.,0.0,Negative,0.0 to 0.49,Delivery Issue
190,83,3,2023-08-10,3,"Good  quality,  but  could  be  cheaper.",0.2382,Mixed Positive,0.0 to 0.49,Product Quality
191,68,3,2024-09-05,4,"Great  purchase,    very  satisfied.",0.8016,Positive,0.5 to 1.0,No Issue Detected
192,42,17,2023-08-04,5,"Excellent  product,  highly  recommend!",0.7773,Positive,0.5 to 1.0,No Issue Detected
193,84,20,2024-06-21,3,"The  product  is  okay,  but  the  instructions  were    unclear.",-0.2617,Mixed Negative,-0.49 to 0.0,No Issue Detected
194,7,7,2025-05-19,1,The  product  arrived  late.,0.0,Negative,0.0 to 0.49,Delivery Issue
195,75,5,2023-10-25,5,Amazing  value  for  the  price.,0.7351,Positive,0.5 to 1.0,No Issue Detected
196,91,2,2023-10-29,3,"Average  experience,  nothing  special.",-0.3089,Mixed Negative,-0.49 to 0.0,No Issue Detected
197,51,15,2024-11-27,4,"I  love  this  product,    will  buy  again!",0.6696,Positive,0.5 to 1.0,No Issue Detected
198,57,8,2023-08-27,5,Five  stars  for  the  quick  delivery.,0.0,Positive,0.0 to 0.49,Delivery Issue
199,6,13,2024-08-20,5,The    quality  is  top-notch.,0.0,Positive,0.0 to 0.49,No Issue Detected
200,30,17,2025-01-09,3,"Good  quality,  but  could  be  cheaper.",0.2382,Mixed Positive,0.0 to 0.49,Product Quality
201,59,6,2023-05-23,2,Not  worth  the  money.,-0.1695,Negative,-0.49 to 0.0,No Issue Detected
202,33,9,2023-09-06,5,Amazing  value  for  the  price.,0.7351,Positive,0.5 to 1.0,No Issue Detected
203,66,18,2023-11-22,3,"Average  experience,  nothing  special.",-0.3089,Mixed Negative,-0.49 to 0.0,No Issue Detected
204,95,14,2024-11-29,4,"Great  purchase,  very    satisfied.",0.8016,Positive,0.5 to 1.0,No Issue Detected
205,88,12,2023-04-06,5,Amazing  value  for  the  price.,0.7351,Positive,0.5 to 1.0,No Issue Detected
206,72,14,2023-08-22,4,Shipping  was  fast  and  the  item  was  well-packaged.,0.0,Positive,0.0 to 0.49,Delivery Issue
207,95,18,2025-06-07,4,"I  love  this  product,  will  buy  again!",0.6696,Positive,0.5 to 1.0,No Issue Detected
208,94,8,2023-03-25,4,"Great  purchase,  very  satisfied.",0.8016,Positive,0.5 to 1.0,No Issue Detected
209,70,8,2025-11-05,3,"Average  experience,  nothing  special.",-0.3089,Mixed Negative,-0.49 to 0.0,No Issue Detected
210,28,1,2023-12-10,2,The  product  arrived  late.,0.0,Negative,0.0 to 0.49,Delivery Issue
211,84,12,2025-03-07,4,Five  stars  for  the  quick  delivery.,0.0,Positive,0.0 to 0.49,Delivery Issue
212,87,10,2023-01-03,1,"Terrible  customer  service,  would  not  buy  again.",-0.4767,Negative,-0.49 to 0.0,No Issue Detected
213,7,13,2024-04-09,5,Shipping  was  fast  and    the  item  was  well-packaged.,0.0,Positive,0.0 to 0.49,Delivery Issue
214,53,18,2025-04-13,3,Five  stars  for  the  quick  delivery.,0.0,Neutral,0.0 to 0.49,Delivery Issue
215,55,10,2024-01-07,2,Product  did  not  meet  my  expectations.,0.0,Negative,0.0 to 0.49,No Issue Detected
216,49,7,2023-11-14,3,"The  product  is  okay,  but  the  instructions  were  unclear.",-0.2617,Mixed Negative,-0.49 to 0.0,No Issue Detected
217,62,11,2023-08-19,5,Amazing  value    for  the  price.,0.7351,Positive,0.5 to 1.0,No Issue Detected
218,35,8,2024-09-14,4,The  quality  is  top-notch.,0.0,Positive,0.0 to 0.49,No Issue Detected
219,90,9,2023-02-18,4,Five  stars  for  the  quick  delivery.,0.0,Positive,0.0 to 0.49,Delivery Issue
220,78,9,2025-08-12,2,Disappointed  with  the  performance.,-0.4767,Negative,-0.49 to 0.0,No Issue Detected
221,26,2,2024-10-21,4,The  build  quality  is  impressive.,0.5106,Positive,0.5 to 1.0,No Issue Detected
222,54,14,2024-02-28,5,Customer  support  was  very  helpful.,0.6997,Positive,0.5 to 1.0,Customer Service
223,37,16,2023-07-31,5,Exceeded  my  expectations!,0.0,Positive,0.0 to 0.49,No Issue Detected
224,68,15,2023-03-27,4,"Great  purchase,    very  satisfied.",0.8016,Positive,0.5 to 1.0,No Issue Detected
225,80,1,2025-09-08,3,"The  product  is  okay,  but  the  instructions  were  unclear.",-0.2617,Mixed Negative,-0.49 to 0.0,No Issue Detected
226,60,9,2023-08-23,2,The  product  arrived  late.,0.0,Negative,0.0 to 0.49,Delivery Issue
227,74,11,2024-08-10,4,"Good    quality,  but  could  be  cheaper.",0.2382,Positive,0.0 to 0.49,Product Quality
228,20,19,2025-10-23,2,"The  product  is  okay,  but  the  instructions  were  unclear.",-0.2617,Negative,-0.49 to 0.0,No Issue Detected
229,69,12,2023-02-07,4,The    quality  is  top-notch.,0.0,Positive,0.0 to 0.49,No Issue Detected
230,54,11,2023-10-19,2,The  product  arrived  late.,0.0,Negative,0.0 to 0.49,Delivery Issue
231,15,16,2025-04-15,5,Five  stars  for  the  quick  delivery.,0.0,Positive,0.0 to 0.49,Delivery Issue
232,17,3,2025-10-11,5,Five  stars  for  the  quick  delivery.,0.0,Positive,0.0 to 0.49,Delivery Issue
233,81,4,2024-11-14,2,The  product  arrived  late.,0.0,Negative,0.0 to 0.49,Delivery Issue
234,80,9,2023-03-06,5,The  build  quality  is  impressive.,0.5106,Positive,0.5 to 1.0,No Issue Detected
